certificate_number,record_id,certificate_type,issue_date,issuing_office,valid_until,observed_at,source_system
XS-CRA-CERT-000001,CSR-00001,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000002,CSR-00002,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000003,CSR-00003,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000004,CSR-00004,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000005,CSR-00005,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000006,CSR-00006,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000007,CSR-00007,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000009,CSR-00009,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000010,CSR-00010,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000011,CSR-00011,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000012,CSR-00012,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000013,CSR-00013,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000014,CSR-00014,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000015,CSR-00015,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000016,CSR-00016,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000017,CSR-00017,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000018,CSR-00018,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000019,CSR-00019,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000020,CSR-00020,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000021,CSR-00021,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000022,CSR-00022,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000023,CSR-00023,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000024,CSR-00024,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000025,CSR-00025,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000026,CSR-00026,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000027,CSR-00027,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
XS-CRA-CERT-000028,CSR-00028,birth_certificate,2026-01-10,CRA district office,,2026-07-04T09:00:00Z,CRA-CORE
